t,ts,demand,R,R_target,u_hat,spread,rho_t,violated,viol_rate,z
66,2023-10-23 10:30:00,81256.45,84339.21585979756,89333.41374362246,73755.4296875,11834.4375,0.0,0,0.0,1.1059643
67,2023-10-23 10:45:00,75959.54,87188.17088821033,93835.73262117346,77078.09375,12730.609375,0.0,0,0.0,0.9077917
68,2023-10-23 11:00:00,75258.84,89497.28304649211,94885.21141581633,77903.40625,12900.90625,0.0,0,0.0,0.88157666
69,2023-10-23 11:15:00,74089.12,91294.27557195774,95487.25813137754,78061.3984375,13238.25,0.0,0,0.0,0.83781385
70,2023-10-23 11:30:00,75009.96,92582.99572243674,95590.00940688775,77716.578125,13578.265625,0.0,0,0.0,0.8722652
71,2023-10-23 11:45:00,77909.56,93659.89952483836,96172.6750637755,77743.0546875,14000.796875,0.0,0,0.0,0.9807476
72,2023-10-23 12:00:00,83232.27,94870.85068141746,97696.40338010204,78709.1953125,14424.390625,0.0,0,0.0,1.1798854
73,2023-10-23 12:15:00,84951.84,96504.09157871416,100314.9870057398,80895.046875,14753.1328125,0.0,0,0.0,1.2442193
74,2023-10-23 12:30:00,87857.33,98145.6059418346,101975.80612244898,82556.78125,14752.4375,0.0,0,0.0,1.3529217
75,2023-10-23 12:45:00,89908.12,99793.11920073829,103637.31680484694,84166.9140625,14791.46875,0.0,0,0.0,1.4296477
76,2023-10-23 13:00:00,87117.87,101347.11517680506,104973.10578762754,85476.6953125,14811.2265625,0.0,0,0.0,1.3252565
77,2023-10-23 13:15:00,82347.24,102393.93449812577,104836.51291454081,85400.4375,14765.390625,0.0,0,0.0,1.1467738
78,2023-10-23 13:30:00,87075.91,102670.00427623905,103314.16709183673,83881.15625,14763.0625,0.0,0,0.0,1.3236866
79,2023-10-23 13:45:00,82312.95,103240.95285784437,104573.16621492346,84396.5234375,15327.9921875,0.0,0,0.0,1.145491
80,2023-10-23 14:00:00,82123.35,103216.28776739156,103158.73588966837,83080.40625,15253.3046875,0.0,0,0.0,1.1383975
81,2023-10-23 14:15:00,82559.03,103043.13200158735,102639.10188137754,82243.21875,15494.546875,0.0,0,0.0,1.1546974
82,2023-10-23 14:30:00,87143.9,102907.09570946574,102589.67769451531,81883.0078125,15730.6484375,0.0,0,0.0,1.3262304
83,2023-10-23 14:45:00,78944.18,103350.61881422804,104385.50605867346,83150.15625,16132.28125,0.0,0,0.0,1.0194556
84,2023-10-23 15:00:00,73008.62,102712.3088236586,101222.91884566327,80860.4375,15469.171875,0.0,0,0.0,0.79738927
85,2023-10-23 15:15:00,77561.0,100980.76904645897,96940.50956632654,77174.015625,15016.40625,0.0,0,0.0,0.96770686
86,2023-10-23 15:30:00,77558.35,99961.60603022536,97583.55899234694,77002.546875,15635.1875,0.0,0,0.0,0.9676078
87,2023-10-23 15:45:00,71930.28,99242.97946669346,97566.18415178571,76930.359375,15676.828125,0.0,0,0.0,0.7570457
88,2023-10-23 16:00:00,74599.82,97699.08728484869,94096.67219387754,74391.140625,14970.09375,0.0,0,0.0,0.8569207
89,2023-10-23 16:15:00,75894.19,96604.92336023592,94051.87420280612,74123.328125,15139.515625,0.0,0,0.0,0.9053467
90,2023-10-23 16:30:00,77570.98,96033.054180609,94698.69276147959,74652.5,15228.890625,0.0,0,0.0,0.9680801
91,2023-10-23 16:45:00,72315.98,95955.5812459416,95774.81106505102,75664.40625,15277.671875,0.0,0,0.0,0.7714756
92,2023-10-23 17:00:00,71625.7,95124.51253223565,93185.3522002551,73965.8125,14600.890625,0.0,0,0.0,0.74565053
93,2023-10-23 17:15:00,69734.95,94105.08657868739,91726.42602040817,72674.65625,14473.4375,0.0,0,0.0,0.6749122
94,2023-10-23 17:30:00,72883.48,92883.03808435414,90031.59159757654,71172.6328125,14326.9609375,0.0,0,0.0,0.79270744
95,2023-10-23 17:45:00,72957.77,92429.9568009484,91372.76713966837,72022.078125,14700.5234375,0.0,0,0.0,0.79548705
96,2023-10-23 18:00:00,75648.96,92356.36089586795,92184.63711734694,72782.765625,14739.40625,0.0,0,0.0,0.89617205
